[ 2013-05-24T00:03:36+08:00 ] /rustcms/ | INFO: Run LocationTemplate Behavior [ RunTime:0.009672s ]
[ 2013-05-24T00:03:36+08:00 ] /rustcms/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.010066s ]
[ 2013-05-24T00:03:36+08:00 ] /rustcms/ | INFO: Tag[ view_parse ] --START--
[ 2013-05-24T00:03:36+08:00 ] /rustcms/ | INFO: Run ParseTemplate Behavior [ RunTime:0.033054s ]
[ 2013-05-24T00:03:36+08:00 ] /rustcms/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.033406s ]
[ 2013-05-24T00:03:36+08:00 ] /rustcms/ | INFO: Tag[ view_filter ] --START--
[ 2013-05-24T00:03:36+08:00 ] /rustcms/ | INFO: Run ContentReplace Behavior [ RunTime:0.002121s ]
[ 2013-05-24T00:03:36+08:00 ] /rustcms/ | INFO: Run TokenBuild Behavior [ RunTime:0.002586s ]
[ 2013-05-24T00:03:36+08:00 ] /rustcms/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.017443s ]
[ 2013-05-24T00:03:36+08:00 ] /rustcms/ | INFO: Run ShowRuntime Behavior [ RunTime:0.002409s ]
[ 2013-05-24T00:03:36+08:00 ] /rustcms/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.025428s ]
[ 2013-05-24T00:03:36+08:00 ] /rustcms/ | INFO: Tag[ view_end ] --START--
[ 2013-05-24T00:03:36+08:00 ] /rustcms/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.003925s ]
[ 2013-05-24T00:03:36+08:00 ] /rustcms/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.004224s ]
