[ 2013-05-30T09:51:50+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Tag[ app_begin ] --START--
[ 2013-05-30T09:51:50+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000934s ]
[ 2013-05-30T09:51:50+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Run CheckLang Behavior [ RunTime:0.001269s ]
[ 2013-05-30T09:51:50+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002354s ]
[ 2013-05-30T09:51:50+08:00 ] /index.php/Admin/Login/checkLogin | SQL: SHOW COLUMNS FROM `think_user` [ RunTime:0.045666s ]
[ 2013-05-30T09:51:50+08:00 ] /index.php/Admin/Login/checkLogin | SQL: SELECT * FROM `think_user` WHERE ( `username` = 'admin' ) AND ( `status` > 0 ) LIMIT 1   [ RunTime:0.000593s ]
[ 2013-05-30T09:51:50+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Tag[ view_template ] --START--
[ 2013-05-30T09:51:51+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Run LocationTemplate Behavior [ RunTime:0.001440s ]
[ 2013-05-30T09:51:51+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Tag[ view_template ] --END-- [ RunTime:0.001606s ]
[ 2013-05-30T09:51:51+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Tag[ view_parse ] --START--
[ 2013-05-30T09:51:51+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Run ParseTemplate Behavior [ RunTime:0.011187s ]
[ 2013-05-30T09:51:51+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Tag[ view_parse ] --END-- [ RunTime:0.011308s ]
[ 2013-05-30T09:51:51+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Tag[ view_filter ] --START--
[ 2013-05-30T09:51:51+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Run ContentReplace Behavior [ RunTime:0.000695s ]
[ 2013-05-30T09:51:51+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Run TokenBuild Behavior [ RunTime:0.000711s ]
[ 2013-05-30T09:51:51+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000529s ]
[ 2013-05-30T09:51:51+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Run ShowRuntime Behavior [ RunTime:0.000794s ]
[ 2013-05-30T09:51:51+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002995s ]
