[ 2013-05-31T16:42:09+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2013-05-31T16:42:09+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001236s ]
[ 2013-05-31T16:42:09+08:00 ] / | INFO: Run CheckLang Behavior [ RunTime:0.001616s ]
[ 2013-05-31T16:42:09+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003140s ]
[ 2013-05-31T16:42:09+08:00 ] / | SQL: SHOW COLUMNS FROM `think_model` [ RunTime:0.005181s ]
[ 2013-05-31T16:42:09+08:00 ] / | SQL: SHOW COLUMNS FROM `think_category` [ RunTime:0.004471s ]
[ 2013-05-31T16:42:16+08:00 ] /index.php/Admin/Index | INFO: Tag[ route_check ] --START--
[ 2013-05-31T16:42:16+08:00 ] /index.php/Admin/Index | INFO: Run CheckRoute Behavior [ RunTime:0.001087s ]
[ 2013-05-31T16:42:16+08:00 ] /index.php/Admin/Index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001208s ]
[ 2013-05-31T16:42:16+08:00 ] /index.php/Admin/Index | INFO: Tag[ app_begin ] --START--
[ 2013-05-31T16:42:16+08:00 ] /index.php/Admin/Index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000749s ]
[ 2013-05-31T16:42:16+08:00 ] /index.php/Admin/Index | INFO: Run CheckLang Behavior [ RunTime:0.000975s ]
[ 2013-05-31T16:42:16+08:00 ] /index.php/Admin/Index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001871s ]
[ 2013-05-31T16:42:16+08:00 ] /index.php/Admin/Index | NOTIC: [8] Undefined index: @&rustuser RBAC.class.php 第 177 行.
[ 2013-05-31T16:42:16+08:00 ] /index.php/Admin/Index | SQL: select node.id,node.name from role as role,user as user,access as access ,menu as node where user.user_id='' and user.role_id=role.id and ( access.role_id=role.id  or (access.role_id=role.pid and role.pid!=0 ) ) and role.status=1 and access.node_id=node.id and node.level=1 and node.status=1 [ RunTime:0.000441s ]
[ 2013-05-31T16:42:16+08:00 ] /index.php/Admin/Index | NOTIC: [2] Invalid argument supplied for foreach() RBAC.class.php 第 225 行.
[ 2013-05-31T16:42:16+08:00 ] /index.php/Admin/Index | NOTIC: [8] Undefined index: @&rustuser RBAC.class.php 第 151 行.
[ 2013-05-31T16:42:16+08:00 ] /index.php/Admin/Login | INFO: Tag[ route_check ] --START--
[ 2013-05-31T16:42:16+08:00 ] /index.php/Admin/Login | INFO: Run CheckRoute Behavior [ RunTime:0.000928s ]
[ 2013-05-31T16:42:16+08:00 ] /index.php/Admin/Login | INFO: Tag[ route_check ] --END-- [ RunTime:0.001058s ]
[ 2013-05-31T16:42:16+08:00 ] /index.php/Admin/Login | INFO: Tag[ app_begin ] --START--
[ 2013-05-31T16:42:16+08:00 ] /index.php/Admin/Login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000724s ]
[ 2013-05-31T16:42:16+08:00 ] /index.php/Admin/Login | INFO: Run CheckLang Behavior [ RunTime:0.001138s ]
[ 2013-05-31T16:42:16+08:00 ] /index.php/Admin/Login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002013s ]
[ 2013-05-31T16:42:16+08:00 ] /index.php/Admin/Login | INFO: Tag[ view_template ] --START--
[ 2013-05-31T16:42:16+08:00 ] /index.php/Admin/Login | INFO: Run LocationTemplate Behavior [ RunTime:0.001365s ]
[ 2013-05-31T16:42:16+08:00 ] /index.php/Admin/Login | INFO: Tag[ view_template ] --END-- [ RunTime:0.001488s ]
[ 2013-05-31T16:42:16+08:00 ] /index.php/Admin/Login | INFO: Tag[ view_parse ] --START--
[ 2013-05-31T16:42:16+08:00 ] /index.php/Admin/Login | INFO: Run ParseTemplate Behavior [ RunTime:0.013023s ]
[ 2013-05-31T16:42:16+08:00 ] /index.php/Admin/Login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.013144s ]
[ 2013-05-31T16:42:16+08:00 ] /index.php/Admin/Login | INFO: Tag[ view_filter ] --START--
[ 2013-05-31T16:42:16+08:00 ] /index.php/Admin/Login | INFO: Run ContentReplace Behavior [ RunTime:0.000814s ]
[ 2013-05-31T16:42:16+08:00 ] /index.php/Admin/Login | INFO: Run TokenBuild Behavior [ RunTime:0.000899s ]
[ 2013-05-31T16:42:16+08:00 ] /index.php/Admin/Login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000719s ]
[ 2013-05-31T16:42:16+08:00 ] /index.php/Admin/Login | INFO: Run ShowRuntime Behavior [ RunTime:0.000933s ]
[ 2013-05-31T16:42:16+08:00 ] /index.php/Admin/Login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003633s ]
[ 2013-05-31T16:42:16+08:00 ] /index.php/Admin/Login | INFO: Tag[ view_end ] --START--
[ 2013-05-31T16:42:16+08:00 ] /index.php/Admin/Login | INFO: Run ShowPageTrace Behavior [ RunTime:0.000999s ]
[ 2013-05-31T16:42:16+08:00 ] /index.php/Admin/Login | INFO: Tag[ view_end ] --END-- [ RunTime:0.001092s ]
[ 2013-05-31T16:42:16+08:00 ] /index.php/Admin/Login/verify/ | INFO: Tag[ route_check ] --START--
[ 2013-05-31T16:42:16+08:00 ] /index.php/Admin/Login/verify/ | INFO: Run CheckRoute Behavior [ RunTime:0.001007s ]
[ 2013-05-31T16:42:16+08:00 ] /index.php/Admin/Login/verify/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001129s ]
[ 2013-05-31T16:42:16+08:00 ] /index.php/Admin/Login/verify/ | INFO: Tag[ app_begin ] --START--
[ 2013-05-31T16:42:16+08:00 ] /index.php/Admin/Login/verify/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000737s ]
[ 2013-05-31T16:42:16+08:00 ] /index.php/Admin/Login/verify/ | INFO: Run CheckLang Behavior [ RunTime:0.000974s ]
[ 2013-05-31T16:42:16+08:00 ] /index.php/Admin/Login/verify/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001859s ]
[ 2013-05-31T16:42:23+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Tag[ route_check ] --START--
[ 2013-05-31T16:42:23+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Run CheckRoute Behavior [ RunTime:0.000948s ]
[ 2013-05-31T16:42:23+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Tag[ route_check ] --END-- [ RunTime:0.001071s ]
[ 2013-05-31T16:42:23+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Tag[ app_begin ] --START--
[ 2013-05-31T16:42:23+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003939s ]
[ 2013-05-31T16:42:23+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Run CheckLang Behavior [ RunTime:0.001185s ]
[ 2013-05-31T16:42:23+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Tag[ app_begin ] --END-- [ RunTime:0.005327s ]
[ 2013-05-31T16:42:23+08:00 ] /index.php/Admin/Login/checkLogin | SQL: SHOW COLUMNS FROM `think_user` [ RunTime:0.038669s ]
[ 2013-05-31T16:42:23+08:00 ] /index.php/Admin/Login/checkLogin | SQL: SELECT * FROM `think_user` WHERE ( `username` = 'admin' ) AND ( `status` > 0 ) LIMIT 1   [ RunTime:0.000550s ]
[ 2013-05-31T16:42:23+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Tag[ view_template ] --START--
[ 2013-05-31T16:42:23+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Run LocationTemplate Behavior [ RunTime:0.001056s ]
[ 2013-05-31T16:42:23+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Tag[ view_template ] --END-- [ RunTime:0.001155s ]
