[ 2013-05-26T10:24:17+08:00 ] /rustcms/index.php/admin/Index/topmenu | INFO: Tag[ view_end ] --START--
[ 2013-05-26T10:24:17+08:00 ] /rustcms/index.php/admin/Index/topmenu | INFO: Run ShowPageTrace Behavior [ RunTime:0.003328s ]
[ 2013-05-26T10:24:17+08:00 ] /rustcms/index.php/admin/Index/topmenu | INFO: Tag[ view_end ] --END-- [ RunTime:0.003548s ]
[ 2013-05-26T10:24:17+08:00 ] /rustcms/index.php/admin/Index/main | INFO: Tag[ route_check ] --START--
[ 2013-05-26T10:24:17+08:00 ] /rustcms/index.php/admin/Index/main | INFO: Run CheckRoute Behavior [ RunTime:0.004145s ]
[ 2013-05-26T10:24:17+08:00 ] /rustcms/index.php/admin/Index/main | INFO: Tag[ route_check ] --END-- [ RunTime:0.004507s ]
[ 2013-05-26T10:24:17+08:00 ] /rustcms/index.php/admin/Index/main | INFO: Tag[ app_begin ] --START--
[ 2013-05-26T10:24:17+08:00 ] /rustcms/index.php/admin/Index/main | INFO: Run ReadHtmlCache Behavior [ RunTime:0.005249s ]
[ 2013-05-26T10:24:17+08:00 ] /rustcms/index.php/admin/Index/main | INFO: Run CheckLang Behavior [ RunTime:0.005900s ]
[ 2013-05-26T10:24:17+08:00 ] /rustcms/index.php/admin/Index/main | INFO: Tag[ app_begin ] --END-- [ RunTime:0.011681s ]
[ 2013-05-26T10:24:17+08:00 ] /rustcms/index.php/admin/Index/main | SQL: SHOW COLUMNS FROM `think_menu` [ RunTime:0.012591s ]
[ 2013-05-26T10:24:17+08:00 ] /rustcms/index.php/admin/Index/main | INFO: Tag[ view_template ] --START--
[ 2013-05-26T10:24:17+08:00 ] /rustcms/index.php/admin/Index/main | INFO: Run LocationTemplate Behavior [ RunTime:0.004102s ]
[ 2013-05-26T10:24:17+08:00 ] /rustcms/index.php/admin/Index/main | INFO: Tag[ view_template ] --END-- [ RunTime:0.004327s ]
[ 2013-05-26T10:24:17+08:00 ] /rustcms/index.php/admin/Index/main | INFO: Tag[ view_parse ] --START--
[ 2013-05-26T10:24:17+08:00 ] /rustcms/index.php/admin/Index/main | NOTIC: [8] Undefined variable: serverinfo e220a08cde5eef97dd1003c2c5f306c9.php 第 5 行.
[ 2013-05-26T10:24:17+08:00 ] /rustcms/index.php/admin/Index/main | NOTIC: [8] Undefined variable: fileupload e220a08cde5eef97dd1003c2c5f306c9.php 第 6 行.
[ 2013-05-26T10:24:17+08:00 ] /rustcms/index.php/admin/Index/main | NOTIC: [8] Undefined variable: magic_quote_gpc e220a08cde5eef97dd1003c2c5f306c9.php 第 7 行.
[ 2013-05-26T10:24:17+08:00 ] /rustcms/index.php/admin/Index/main | INFO: Run ParseTemplate Behavior [ RunTime:0.078027s ]
[ 2013-05-26T10:24:17+08:00 ] /rustcms/index.php/admin/Index/main | INFO: Tag[ view_parse ] --END-- [ RunTime:0.078262s ]
[ 2013-05-26T10:24:17+08:00 ] /rustcms/index.php/admin/Index/main | INFO: Tag[ view_filter ] --START--
[ 2013-05-26T10:24:17+08:00 ] /rustcms/index.php/admin/Index/main | INFO: Run ContentReplace Behavior [ RunTime:0.002301s ]
[ 2013-05-26T10:24:17+08:00 ] /rustcms/index.php/admin/Index/main | INFO: Run TokenBuild Behavior [ RunTime:0.002325s ]
[ 2013-05-26T10:24:17+08:00 ] /rustcms/index.php/admin/Index/main | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001884s ]
